id;name;host_id;host_name;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
27886;Romantic, stylish B&B houseboat in canal district;97647;Flip;Centrum-West;52.38761;4.89188;Private room;132;3;311;2025-09-07;1.87;1;17;33;0363 974D 4986 7411 88D8
28871;Comfortable double room;124245;Edwin;Centrum-West;52.36775;4.89092;Private room;89;2;732;2025-09-07;3.99;2;126;93;0363 607B EA74 0BD8 2F6F
29051;Comfortable single / double room;124245;Edwin;Centrum-Oost;52.36584;4.89111;Private room;61;2;849;2025-09-08;4.81;2;95;86;0363 607B EA74 0BD8 2F6F
49552;Multatuli Luxury Guest Suite in top location;225987;Joanna & MP;Centrum-West;52.38028;4.89089;Entire home/apt;322;3;609;2025-08-26;3.36;1;223;53;0363 576A D827 5085 6B83
50263;Central de Lux 2 bedrooms (4p) apt 125 sqm;230246;Donald;Centrum-Oost;52.36937805386749;4.929579192438728;Entire home/apt;457;2;177;2025-09-01;0.97;1;354;11;0363 7F3D 0BAE 28C8 C7D2
50515;Family Home (No drugs, smoking or parties);231864;Karin;Bos en Lommer;52.37559;4.83857;Entire home/apt;198;7;20;2025-08-23;0.15;1;244;3;0363 5DDB E495 A6D5 CEC6
50523;B & B de 9 Straatjes (city center);231946;Raymond;Centrum-West;52.36959;4.88423;Entire home/apt;162;2;563;2025-08-24;3.15;1;261;79;0363 22DC 0E52 B70B 0FB8
97221;Beautiful and spacious room;195859;Gianni;Slotervaart;52.34801;4.83639;Private room;68;2;412;2025-08-08;2.39;2;305;49;0363 BCBA 6311 3268 DC8C
137026;Charming Historic House with Garden in De Pijp;670266;Ton & Fede;De Pijp - Rivierenbuurt;52.35178;4.90699;Entire home/apt;335;2;117;2025-08-24;0.70;1;108;9;0363 67D6 8568 BA8A F738
179528;Authentic Amsterdam Apartment RAI;856540;Pierre;De Pijp - Rivierenbuurt;52.34332;4.89484;Entire home/apt;301;7;37;2025-06-27;0.22;2;216;2;0363 1C26 67B4 C610 1758
188347;Cozy, Central Room in Amsterdam;907405;Yahav;De Baarsjes - Oud-West;52.3683;4.85446;Private room;68;3;478;2025-09-03;2.79;1;86;42;0363 7C68 38F7 176D 8CDF
189754;Metropolitan B&B centre Amsterdam;915591;Marijn;Centrum-West;52.37548;4.89398;Entire home/apt;231;2;427;2025-09-10;2.51;1;202;55;0363 08BD B22D FCC2 5F83
193038;Private Loft&Bathroom  Ensuite Studio Ctr Amsterda;935742;Johan;Centrum-Oost;52.36057;4.89671;Private room;158;3;740;2025-08-31;4.34;1;323;29;0363 E04C 4DED 8CA7 F902
245927;Sonnenberg - Canal side & view - Private & Central;1005087;Wytse;Centrum-West;52.36897659301758;4.887128829956055;Entire home/apt;635;2;274;2025-08-28;1.68;1;267;39;0363 E3FA A6F6 2112 7636
247805;Bellavista, central,with canal view;1298735;Carolien;De Baarsjes - Oud-West;52.36707;4.87348;Private room;117;2;563;2025-09-02;3.35;1;9;67;0363 157A 14AF 5451 77C3
254104;The Flying Pancake B&B Amsterdam;1334704;Claudia;Centrum-Oost;52.364898681640625;4.9091691970825195;Private room;185;2;86;2025-09-06;0.68;3;250;5;0363 04F9 EC32 8EE2 C9D0
255809;Stylish apartment with free carpark;1344947;André Charles;De Pijp - Rivierenbuurt;52.34416;4.88709;Private room;279;2;269;2025-09-04;1.65;1;314;42;0363 A842 020A 9193 B416
283170;"5-bedrooms house; central location; free parking";1451657;Marco;Zuid;52.35435;4.87316;Entire home/apt;1036;2;130;2025-06-15;0.80;1;253;1;0363 0240 34A0 48C3 6D81
286500;Centre, canal view with private bathroom;1491565;David;Centrum-West;52.37561;4.9;Private room;184;3;413;2025-08-27;2.49;2;118;31;0363 DF01 FBC0 496B 9730
290701;Central, big window, rear room with private bath.;1491565;David;Centrum-West;52.37561;4.9;Private room;184;3;491;2025-09-05;2.97;2;96;27;0363 DF01 FBC0 496B 9730
291752;Cozy & large bohemian style room;1511330;Ton;Oud-Oost;52.35143;4.91272;Private room;141;3;283;2025-06-24;1.70;1;317;16;0363 6ACC BA1B 12A9 60C1
304082;Private, quiet studio in the centre with terrace;276068;Mirre;Centrum-West;52.37046;4.89712;Entire home/apt;185;2;381;2025-08-23;2.32;1;265;59;0363 6C40 7413 ADD3 9AF8
306852;SunShine, A Sunny Amsterdam Center Special;1141485;Gisèle And Simon;Centrum-Oost;52.35931;4.89844;Entire home/apt;200;4;32;2023-04-01;0.20;3;0;0;0363 33C3 B936 3911 FC42
307497;Historical sailing ship Monnickendam and Amsterdam;1582128;Jorn;Westerpark;52.3933;4.88556;Entire home/apt;948;2;103;2024-05-12;0.65;2;309;0;Exempt
307621;SunBird, Sunny Apt in Quiet Street;1141485;Gisèle And Simon;Centrum-Oost;52.35871;4.89616;Entire home/apt;134;3;6;2023-03-27;0.04;3;0;0;0363 33C3 B936 3911 FC42
311124;*historic centre* *bright* *canal view* *Jordaan*;1600010;Anke & Robert;Centrum-West;52.37104;4.87713;Entire home/apt;325;5;100;2025-07-21;0.61;1;307;8;0363 59D8 7D30 6CFA DC81
331946;great family house only suitable for fam with kids;1687595;Sebastiaan;De Baarsjes - Oud-West;52.3606;4.85739;Entire home/apt;275;3;37;2025-08-18;0.26;1;7;5;0363 A942 21DC C431 1AD1
343094;Amstel Nest - an urban retreat for two;1740785;Rob & Fang;Oud-Oost;52.35715;4.90926;Private room;104;5;586;2025-07-30;3.60;1;296;39;0363 FC71 F7DB 3AB4 3C42
359298;Sunny Roof Top in Beautiful Area;1817922;Fabrizio;Centrum-Oost;52.36217;4.91152;Entire home/apt;271;2;112;2025-01-04;0.69;1;176;2;0363 2C03 2839 16EE 011F
366438;Private apartment@ city centre & canal view;1849988;Nicolet;Centrum-West;52.36902;4.89535;Private room;147;3;565;2025-09-08;3.46;1;335;36;0363 BD40 0F80 50E7 8478
367107;IN HISTORIC CENTRE, NEXT TO AMSTEL, PEACEFUL HOME;1853421;Marijn;Centrum-Oost;52.36301;4.90077;Entire home/apt;299;5;23;2025-04-26;0.19;1;358;3;0363 1761 5C93 2C93 93FE
379885;Private Studio Houseboat *BEST VIEW* @Amstel;1907015;Masha;De Pijp - Rivierenbuurt;52.354647769336964;4.906100814228655;Private room;228;3;94;2023-10-29;0.58;1;2;0;0363 3FE4 07B5 85AA 55F8
410997;Great for families, 3BR duplex with roof terrace;2046301;Nina;Westerpark;52.380023324555076;4.874433921704397;Entire home/apt;287;1;0;;;1;2;0;0363 DD3A 3885 5DEF 971F
415619;Sunny Amsterdam East Harbor View;1336633;Stephan;Oostelijk Havengebied - Indische Buurt;52.36905;4.93528;Entire home/apt;124;2;92;2025-08-24;0.57;1;1;6;0363 09A6 8FFA 6EC4 805F
431635;Sunny apartment with cat;1939922;Hannes;Bos en Lommer;52.37706;4.85671;Entire home/apt;63;5;24;2025-08-17;0.15;1;18;2;0363 604F 0D83 3E37 14D7
440992;Charming houseboat near Olympic St.;2191136;Jan;Zuid;52.341621;4.849049;Entire home/apt;170;3;141;2025-09-02;0.87;1;9;7;0363 6532 4C0A A235 9114
441424;Family house in centre of Amsterdam;2193861;Marco;Oostelijk Havengebied - Indische Buurt;52.37386;4.9431;Entire home/apt;158;4;45;2025-08-03;0.28;1;22;3;0363B9396B464F7B165A
445660;cosy room with private entrance;2202945;Heleen;De Baarsjes - Oud-West;52.37001;4.85646;Private room;60;3;592;2025-09-08;3.65;1;195;28;0363 1D15 382F 70B9 6319
450767;Houseboat 'Saturnus' Amsterdam;2238440;Richard En Birgit;Centrum-Oost;52.37006;4.90081;Entire home/apt;374;3;334;2025-08-26;2.12;2;294;58;0363 DB37 0A9B 68B2 4474
496953;Luxury design B&B in city centre;2453971;Kim;De Baarsjes - Oud-West;52.36385;4.87483;Private room;250;1;28;2018-12-31;0.18;1;88;0;0363 A70C E031 9597 F8A8
505012;Amsterdam centrum, perfect familiehuis;1645998;Djoke;Centrum-Oost;52.36412;4.88757;Entire home/apt;630;3;61;2023-05-10;0.39;1;2;0;0363 5F8A A57B 18E0 63BB
507598;Canal View Apartment! Jordaan Area;2501656;Stephanie;Centrum-West;52.37694;4.88003;Entire home/apt;500;2;62;2019-06-16;0.39;1;87;0;0363 E6C4 FEF6 F27C DCF5
515088;Familyfriendly Suite incl breakfast;2536879;Hansje;Noord-Oost;52.39702;4.99645;Entire home/apt;215;2;1;2019-03-10;0.01;1;341;0;0363 0A94 AAA2 B228 0695
515749;Unique and luxury houseboat;2540480;Derk;Centrum-Oost;52.35902;4.89606;Entire home/apt;210;3;325;2025-07-28;2.03;1;260;33;0363CB2056581DF32788
515921;Apartment near centre with amazing view over city;2541099;Anne-Marie;Zuid;52.35022;4.8525;Entire home/apt;175;3;104;2025-08-10;0.65;1;43;4;0363 676E D52D A47D 768A
517996;Bright Canal house with amazing view! @the Jordaan;2550339;Aemilia;Centrum-West;52.37827;4.88568;Entire home/apt;350;3;31;2025-05-30;0.20;1;69;1;0363 7EFC D96F 5878 3F49
